preset,x_h,phi_h,temperature_L,sound_speed_squared
cosh-calibration,0.14472028050091398,0.1382615179282532,8.6304834179652286,0.33305641105567335
cosh-calibration,0.14594115902170263,0.13942666793706732,8.5076366810168924,0.33305173522952558
cosh-calibration,0.14717233702752106,0.14060161567772278,8.3865392068774334,0.33304698072848427
cosh-calibration,0.14841390140612265,0.14178644300095258,8.2671660886481231,0.33304214624024914
cosh-calibration,0.14966593977825693,0.14298123242771529,8.1494927740686762,0.33303723042869338
cosh-calibration,0.15092854050385299,0.1441860671540299,8.0334950604698641,0.33303223193516091
cosh-calibration,0.15220179268825551,0.14540103105647431,7.9191490897940335,0.33302714937968753
cosh-calibration,0.15348578618851302,0.14662620869713211,7.8064313436892805,0.3330219813596712
cosh-calibration,0.15478061161971945,0.14786168532900376,7.6953186386715391,0.33301672645001035
cosh-calibration,0.15608636036140913,0.14910754690114236,7.5857881213570844,0.33301138319974527
cosh-calibration,0.15740312456400557,0.15036388006394469,7.4778172637633666,0.33300595013641388
cosh-calibration,0.15873099715532496,0.15163077217465568,7.3713838586732239,0.33300042576349126
cosh-calibration,0.16007007184713412,0.15290831130239296,7.2664660150700335,0.33299480855814578
cosh-calibration,0.16142044314176429,0.15419658623381846,7.1630421536341684,0.332989096972714
cosh-calibration,0.16278220633878021,0.15549568647836035,7.0610910023059672,0.33298328943686967
cosh-calibration,0.16415545754170577,0.15680570227384483,6.9605915919080328,0.33297738435369789
cosh-calibration,0.16554029366480624,0.15812672459171964,6.8615232518358429,0.33297138009801525
cosh-calibration,0.16693681243992795,0.15945884514274672,6.7638656058045337,0.3329652750167848
cosh-calibration,0.16834511242339534,0.16080215638237841,6.6675985676607619,0.33295906743528147
cosh-calibration,0.16976529300296639,0.16215675151648784,6.5727023372460343,0.33295275564981353
cosh-calibration,0.17119745440484677,0.16352272450678404,6.479157396330943,0.33294633792600298
cosh-calibration,0.17264169770076307,0.16490017007652508,6.3869445045961557,0.33293981250236088
cosh-calibration,0.17409812481509565,0.16628918371610379,6.2960446956792948,0.33293317759058388
cosh-calibration,0.17556683853207181,0.16768986168870695,6.2064392732692539,0.33292643137160033
cosh-calibration,0.17704794250301956,0.16910230103609575,6.1181098072666913,0.33291957199872674
cosh-calibration,0.17854154125368252,0.17052659958440805,6.0310381299869231,0.3329125975920626
cosh-calibration,0.18004774019159669,0.17196285594939378,5.9452063324316162,0.33290550623979842
cosh-calibration,0.18156664561352936,0.1734111695428423,5.8605967605980949,0.33289829600947934
cosh-calibration,0.18309836471298069,0.17487164057828605,5.7771920118504809,0.33289096492434656
cosh-calibration,0.18464300558774871,0.17634437007621276,5.6949749313451452,0.3328835109802572
cosh-calibration,0.18620067724755809,0.17782945987070145,5.6139286084956082,0.33287593214681477
cosh-calibration,0.18777148962175333,0.1793270126148731,5.5340363734983447,0.3328682263511325
